Name,Code,Date,Close,break_30d_day,break_52w_day,MACD_SIG_day,MACD_SIG_variation_day,MACD_HIST_week,EMA_25_Deviation_day,EMA_percentile_10,RSI_25_day,RSI_percentile_10,RSI_14_day,RSI_sig_14_day,vr_day,vr_percentile_10,BBAND_L2_day,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign,BBAND_L2_Sign
日鉄鉱業,1515,2024-11-20 00:00:00+00:00,4265.0,4530.0,5790.0,-24.9,-1.8,0,0.6,-3.2,47.9,40.7,48.7,46.3,125.0,61.8,4103.3,0,0,0,0,0,0,0
三井松島ホールディングス,1518,2024-11-20 00:00:00+00:00,3590.0,5120.0,5700.0,-227.4,-9.1,0,-5.0,-3.8,27.0,38.8,16.4,21.5,26.2,58.3,3428.8,0,1,1,0,0,1,0
ＩＮＰＥＸ,1605,2024-11-20 00:00:00+00:00,2031.0,2173.0,2594.5,-0.8,1.2,0,0.8,-3.6,50.6,40.9,54.6,51.2,104.8,62.0,1941.4,0,0,0,0,0,0,0
石油資源開発,1662,2024-11-20 00:00:00+00:00,1104.0,1208.0,1458.0,-3.2,-0.6,0,0.3,-3.5,48.5,41.9,48.9,47.5,78.6,62.3,1069.7,0,0,0,0,0,0,0
Ｋ＆Ｏエナジーグループ,1663,2024-11-20 00:00:00+00:00,2966.0,3510.0,4170.0,-74.4,-1.9,0,-0.5,-2.6,41.6,41.9,39.5,37.8,64.5,55.6,2859.1,0,0,0,0,0,0,0
安藤・間,1719,2024-11-20 00:00:00+00:00,1183.0,1185.0,1270.0,8.5,1.6,0,2.2,-2.4,65.3,40.9,76.9,64.7,223.2,60.3,1079.5,0,0,0,0,0,0,0
東急建設,1720,2024-11-20 00:00:00+00:00,698.0,716.0,862.0,-4.8,0.7,0,1.2,-2.4,48.5,38.2,56.8,44.4,87.0,58.8,675.0,0,0,0,0,0,0,0
コムシスホールディングス,1721,2024-11-20 00:00:00+00:00,3277.0,3301.0,3769.0,16.1,3.9,0,2.6,-2.2,57.9,39.1,63.0,55.2,226.5,65.0,2998.6,0,0,0,0,0,0,0
ビーアールホールディングス,1726,2024-11-20 00:00:00+00:00,346.0,358.0,402.0,-1.9,0.1,0,0.4,-3.0,46.4,34.8,47.9,41.2,46.2,50.6,341.5,0,0,0,0,0,1,0
高松コンストラクショングループ,1762,2024-11-20 00:00:00+00:00,2700.0,2991.0,3145.0,-25.6,-5.5,0,-3.0,-2.1,36.7,40.2,28.6,38.5,44.6,61.9,2699.8,0,1,1,0,0,1,0
東建コーポレーション,1766,2024-11-20 00:00:00+00:00,10680.0,11250.0,12500.0,-71.5,11.5,0,0.2,-2.4,48.1,41.2,50.1,47.5,50.2,57.2,10222.1,0,0,0,0,0,1,0
ヤマウラ,1780,2024-11-20 00:00:00+00:00,1162.0,1244.0,1675.0,-3.6,-0.8,0,-0.2,-1.7,46.6,39.7,45.3,45.7,58.7,61.0,1141.8,0,0,0,0,0,1,0
オリエンタル白石,1786,2024-11-20 00:00:00+00:00,377.0,388.0,403.0,0.5,0.0,0,-0.5,-1.9,50.8,40.6,48.0,52.2,128.9,64.4,369.1,0,0,0,0,0,0,0
大成建設,1801,2024-11-20 00:00:00+00:00,6795.0,7350.0,7350.0,113.1,3.5,0,2.1,-2.8,58.4,41.2,60.6,57.9,96.9,65.3,5940.5,0,0,0,0,0,0,0
大林組,1802,2024-11-20 00:00:00+00:00,2058.5,2061.5,2061.5,41.9,3.4,0,2.8,-2.3,65.9,42.2,73.5,66.7,176.5,70.3,1769.4,0,0,0,0,0,0,0
清水建設,1803,2024-11-20 00:00:00+00:00,1174.5,1236.0,1236.0,37.7,4.5,0,3.8,-2.7,69.1,39.3,73.1,68.3,72.5,59.7,862.5,0,0,0,0,0,0,0
飛島建設,1805,2024-11-19 00:00:00+00:00,1550.0,1583.0,1650.0,15.2,-0.2,0,0.7,-2.2,58.0,40.6,59.5,58.3,118.8,60.3,1496.9,0,0,0,0,0,0,0
長谷工コーポレーション,1808,2024-11-20 00:00:00+00:00,1875.5,1920.0,1982.5,0.3,1.3,0,0.4,-2.2,53.9,41.5,55.0,51.4,104.8,59.2,1795.2,0,0,0,0,0,0,0
鹿島建設,1812,2024-11-20 00:00:00+00:00,2722.5,2804.5,3185.0,16.0,1.7,0,0.9,-2.4,54.9,41.9,58.6,56.1,108.7,63.2,2526.1,0,0,0,0,0,0,0
不動テトラ,1813,2024-11-20 00:00:00+00:00,2095.0,2297.0,2671.0,-40.8,2.9,0,1.7,-2.2,46.1,40.5,50.3,41.0,71.9,68.6,2006.5,0,0,0,0,0,0,0
大末建設,1814,2024-11-20 00:00:00+00:00,1689.0,1703.0,1814.0,14.9,1.6,0,1.3,-2.2,58.1,38.4,64.7,59.9,205.2,54.1,1545.3,0,0,0,0,0,0,0
鉄建建設,1815,2024-11-20 00:00:00+00:00,2250.0,2442.0,2927.0,-15.2,-3.6,0,-2.0,-1.9,40.3,40.4,35.0,41.9,117.5,51.8,2236.5,0,1,1,0,0,0,0
西松建設,1820,2024-11-20 00:00:00+00:00,5121.0,5287.0,5364.0,25.0,-0.6,0,0.4,-2.0,54.1,41.9,54.0,54.0,132.9,60.1,4863.3,0,0,0,0,0,0,0
三井住友建設,1821,2024-11-20 00:00:00+00:00,369.0,420.0,445.0,-5.9,-0.4,0,-0.6,-2.2,40.9,39.8,38.1,35.9,52.7,62.6,358.0,0,0,0,0,0,1,0
奥村組,1833,2024-11-20 00:00:00+00:00,3980.0,4430.0,5330.0,-86.3,-5.3,0,-1.2,-2.0,35.6,41.4,33.5,34.4,91.1,62.4,3816.5,0,0,1,0,0,0,0
東鉄工業,1835,2024-11-20 00:00:00+00:00,3135.0,3450.0,3475.0,-40.3,-0.6,0,-0.8,-1.9,41.7,40.2,37.0,38.8,95.0,57.0,3106.7,0,0,0,0,0,0,0
淺沼組,1852,2024-11-20 00:00:00+00:00,660.0,686.0,885.0,-5.8,0.4,0,0.8,-2.1,46.4,41.3,50.9,43.0,97.9,62.7,642.4,0,0,0,0,0,0,0
戸田建設,1860,2024-11-20 00:00:00+00:00,993.3,1006.0,1112.0,4.3,2.4,0,2.8,-2.3,58.8,42.0,68.8,58.2,212.6,64.8,863.1,0,0,0,0,0,0,0
熊谷組,1861,2024-11-20 00:00:00+00:00,3605.0,3640.0,4315.0,-11.0,3.3,0,2.7,-2.1,55.6,40.8,59.8,49.4,93.5,65.4,3360.6,0,0,0,0,0,0,0
矢作建設工業,1870,2024-11-20 00:00:00+00:00,1499.0,1575.0,1739.0,-15.5,0.7,0,1.1,-2.1,47.1,42.0,50.5,41.9,85.8,64.8,1452.4,0,0,0,0,0,0,0
ピーエス三菱,1871,2024-11-20 00:00:00+00:00,1046.0,1069.0,1088.0,5.9,1.3,0,1.4,-2.0,58.3,41.8,62.8,57.4,45.7,55.3,945.1,0,0,0,0,0,1,0
日本ハウスホールディングス,1873,2024-11-20 00:00:00+00:00,322.0,345.0,383.0,-5.2,0.2,0,0.5,-3.4,43.8,35.1,43.9,37.7,55.2,50.7,311.9,0,0,0,0,0,0,0
大東建託,1878,2024-11-20 00:00:00+00:00,17335.0,17445.0,18315.0,7.8,18.7,0,1.2,-2.5,55.0,40.2,60.8,54.0,234.4,61.2,16247.7,0,0,0,0,0,0,0
新日本建設,1879,2024-11-20 00:00:00+00:00,1546.0,1623.0,1741.0,-13.6,0.8,0,1.2,-2.2,49.6,41.5,51.5,45.0,76.0,56.8,1483.8,0,0,0,0,0,0,0
東亜道路工業,1882,2024-11-20 00:00:00+00:00,1258.0,1408.0,1427.0,-13.7,0.8,0,0.6,-1.9,47.5,44.0,48.2,44.0,150.3,69.2,1226.1,0,0,0,0,0,0,0
日本道路,1884,2024-11-20 00:00:00+00:00,1676.0,1756.0,2153.0,9.2,2.1,0,0.6,-2.7,54.2,37.8,58.3,56.0,146.1,54.8,1491.7,0,0,0,0,0,0,0
東亜建設工業,1885,2024-11-20 00:00:00+00:00,1132.0,1133.0,1315.0,21.9,3.5,0,5.6,-2.3,64.7,42.6,68.6,60.4,169.2,61.5,890.6,0,0,0,0,0,0,0
日本国土開発,1887,2024-11-20 00:00:00+00:00,512.0,526.0,672.0,4.4,-0.2,0,0.0,-2.3,55.8,38.7,55.0,56.7,123.5,53.1,498.6,0,0,0,0,0,0,0
若築建設,1888,2024-11-20 00:00:00+00:00,3555.0,3670.0,3850.0,16.0,0.7,0,1.0,-2.9,54.3,41.1,56.1,53.3,52.1,61.4,3373.7,0,0,0,0,0,1,0
東洋建設,1890,2024-11-20 00:00:00+00:00,1302.0,1363.0,1551.0,-12.1,0.7,0,0.6,-2.3,45.9,42.8,48.9,43.1,79.1,61.9,1267.9,0,0,0,0,0,0,0
五洋建設,1893,2024-11-20 00:00:00+00:00,618.0,659.3,950.0,-3.5,-0.1,0,0.3,-2.5,47.7,38.6,47.8,45.7,119.1,60.0,603.5,0,0,0,0,0,0,0
世紀東急工業,1898,2024-11-20 00:00:00+00:00,1556.0,1563.0,1975.0,2.3,1.7,0,1.2,-2.1,52.9,41.0,60.2,53.8,136.8,63.5,1423.4,0,0,0,0,0,0,0
福田組,1899,2024-11-20 00:00:00+00:00,5200.0,5880.0,6600.0,-8.5,-12.9,0,-3.6,-2.3,40.8,41.6,32.8,44.9,88.0,59.4,5218.9,0,1,1,0,0,0,1
住友林業,1911,2024-11-20 00:00:00+00:00,5446.0,6539.0,7262.0,-180.1,-5.2,0,-1.9,-3.2,40.5,42.6,35.1,35.7,44.7,62.9,5281.3,0,0,1,0,0,1,0
大和ハウス工業,1925,2024-11-20 00:00:00+00:00,4640.0,4663.0,4684.0,21.7,3.1,0,0.9,-2.3,57.3,42.2,59.6,56.3,85.1,74.2,4408.7,0,0,0,0,0,0,0
ライト工業,1926,2024-11-20 00:00:00+00:00,2170.0,2319.0,2319.0,-11.3,-0.6,0,0.6,-2.0,50.1,41.6,49.0,45.9,80.5,62.9,2098.8,0,0,0,0,0,0,0
積水ハウス,1928,2024-11-20 00:00:00+00:00,3553.0,3934.0,4119.0,-47.5,-2.0,0,-1.1,-2.1,42.1,42.1,35.2,38.0,68.2,63.6,3537.1,0,0,0,0,0,0,0
日特建設,1929,2024-11-20 00:00:00+00:00,995.0,1039.0,1213.0,-6.3,-0.1,0,0.0,-1.7,44.2,40.2,44.4,42.6,61.6,52.6,978.7,0,0,0,0,0,0,0
北陸電気工事,1930,2024-11-20 00:00:00+00:00,1116.0,1223.0,1305.0,-15.8,0.0,0,-0.1,-2.7,45.2,39.6,43.7,41.9,62.4,56.2,1076.6,0,0,0,0,0,0,0
ユアテック,1934,2024-11-20 00:00:00+00:00,1477.0,1538.0,1644.0,-9.7,2.1,0,1.5,-2.2,51.7,41.8,53.9,48.9,152.7,55.9,1381.0,0,0,0,0,0,0,0
日本リーテック,1938,2024-11-20 00:00:00+00:00,1105.0,1129.0,1501.0,6.7,1.6,0,1.0,-3.8,54.7,35.4,60.7,57.4,138.0,53.4,981.8,0,0,0,0,0,0,0
四電工,1939,2024-11-20 00:00:00+00:00,1549.0,1548.0,1548.0,57.1,3.6,0,4.3,-2.1,72.2,43.3,78.2,71.7,275.5,57.0,1135.3,0,0,0,1,1,0,0
中電工,1941,2024-11-20 00:00:00+00:00,3440.0,3480.0,3520.0,41.3,3.0,0,0.7,-1.5,58.6,42.1,61.9,60.3,187.5,60.2,3059.8,0,0,0,0,0,0,0
関電工,1942,2024-11-20 00:00:00+00:00,2282.0,2325.5,2325.5,23.5,4.1,0,2.3,-1.9,60.6,41.3,64.0,58.3,196.8,58.0,1992.3,0,0,0,0,0,0,0
きんでん,1944,2024-11-20 00:00:00+00:00,3075.0,3291.0,3448.0,-17.2,0.8,0,-0.8,-1.8,47.2,41.4,45.9,47.0,129.1,61.4,3004.7,0,0,0,0,0,0,0
東京エネシス,1945,2024-11-20 00:00:00+00:00,1025.0,1186.0,1434.0,-22.3,-1.5,0,-1.9,-2.6,36.1,41.6,29.3,35.1,64.5,69.3,986.6,0,0,1,0,0,1,0
トーエネック,1946,2024-11-20 00:00:00+00:00,920.0,960.0,1268.0,-2.2,0.2,0,0.7,-2.4,49.3,41.8,52.7,48.5,145.5,59.4,875.7,0,0,0,0,0,0,0
住友電設,1949,2024-11-20 00:00:00+00:00,4850.0,5030.0,5030.0,139.8,-2.3,0,1.1,-2.7,66.2,39.5,68.3,67.7,125.9,53.9,4355.4,0,0,0,0,0,0,0
日本電設工業,1950,2024-11-20 00:00:00+00:00,1826.0,1916.0,2338.0,-1.5,-0.0,0,-0.1,-2.6,49.5,40.0,49.4,49.6,94.9,60.8,1756.4,0,0,0,0,0,0,0
エクシオグループ,1951,2024-11-20 00:00:00+00:00,1796.0,1705.0,1730.5,16.6,5.4,0,9.3,-2.0,75.4,40.0,86.0,65.0,216.8,63.1,1442.0,0,0,0,1,1,0,0
新日本空調,1952,2024-11-20 00:00:00+00:00,3960.0,3995.0,4565.0,82.3,12.9,0,4.6,-2.7,62.9,40.1,70.7,62.9,95.3,61.0,3046.2,0,0,0,0,0,0,0
九電工,1959,2024-11-20 00:00:00+00:00,5281.0,6525.0,7058.0,-227.4,-2.9,0,-2.4,-2.5,35.5,39.3,31.5,31.8,46.6,61.0,5054.5,0,0,1,0,0,1,0
三機工業,1961,2024-11-20 00:00:00+00:00,2963.0,2988.0,2988.0,106.5,12.1,0,6.1,-1.8,75.8,42.3,82.6,72.7,232.7,63.1,2055.9,0,0,0,0,0,0,0
日揮ホールディングス,1963,2024-11-20 00:00:00+00:00,1299.0,1403.0,2250.5,8.9,-1.9,0,0.1,-3.9,51.3,36.6,50.1,52.1,86.0,55.8,1221.5,0,0,0,0,0,0,0
中外炉工業,1964,2024-11-20 00:00:00+00:00,2819.0,2914.0,3565.0,34.4,1.3,0,1.4,-2.6,55.9,41.0,61.6,58.2,102.4,51.9,2513.3,0,0,0,0,0,0,0
太平電業,1968,2024-11-20 00:00:00+00:00,5000.0,5380.0,5680.0,-41.9,-0.5,0,0.4,-2.0,47.7,44.9,47.6,44.6,76.6,67.1,4871.1,0,0,0,0,0,0,0
高砂熱学工業,1969,2024-11-20 00:00:00+00:00,5904.0,5997.0,6520.0,165.5,18.2,0,4.6,-2.2,66.5,40.0,74.5,69.1,193.2,60.9,4354.3,0,0,0,0,0,0,0
ＮＥＣネッツエスアイ,1973,2024-11-20 00:00:00+00:00,3315.0,3325.0,3325.0,152.8,0.2,0,1.5,-2.6,72.8,42.1,78.5,75.2,136.3,63.1,2530.6,0,0,0,0,0,0,0
朝日工業社,1975,2024-11-20 00:00:00+00:00,1735.0,1800.0,1800.0,65.2,11.8,0,9.0,-2.8,78.7,42.4,87.5,73.1,444.5,64.4,1020.5,0,0,0,0,0,0,0
明星工業,1976,2024-11-20 00:00:00+00:00,1298.0,1370.0,1389.0,23.2,-1.1,0,-0.4,-2.5,55.9,41.4,56.2,60.4,99.2,63.3,1241.7,0,0,0,0,0,0,0
大氣社,1979,2024-11-20 00:00:00+00:00,4890.0,5070.0,5420.0,15.5,1.0,0,0.4,-2.3,52.1,42.7,53.3,52.4,121.5,59.1,4616.2,0,0,0,0,0,0,0
ダイダン,1980,2024-11-20 00:00:00+00:00,3520.0,3655.0,3655.0,118.4,8.0,0,3.2,-2.4,65.9,41.7,70.6,67.4,224.5,61.7,2637.7,0,0,0,0,0,0,0
日比谷総合設備,1982,2024-11-20 00:00:00+00:00,3660.0,3880.0,3880.0,44.2,0.3,0,0.2,-1.9,55.0,44.3,54.3,56.0,113.8,69.1,3322.5,0,0,0,0,0,0,0
ニップン,2001,2024-11-20 00:00:00+00:00,2133.0,2258.0,2491.0,-13.5,-0.9,0,-0.9,-1.3,40.7,41.7,38.0,40.9,84.1,63.9,2125.3,0,0,1,0,0,0,0
日清製粉グループ本社,2002,2024-11-20 00:00:00+00:00,1842.5,1855.0,2281.5,0.9,1.9,0,1.5,-2.4,55.5,38.9,62.8,53.6,118.8,56.3,1725.1,0,0,0,0,0,0,0
昭和産業,2004,2024-11-20 00:00:00+00:00,2800.0,2967.0,3600.0,-28.6,0.5,0,0.2,-1.7,41.9,37.2,43.8,38.6,66.9,50.9,2748.6,0,0,0,0,0,0,0
中部飼料,2053,2024-11-20 00:00:00+00:00,1326.0,1511.0,1635.0,-27.9,0.0,0,-0.3,-2.3,39.3,39.0,37.2,34.1,49.4,50.7,1298.2,0,0,0,0,0,1,0
フィード・ワン,2060,2024-11-20 00:00:00+00:00,817.0,879.0,1063.0,-7.9,-0.3,0,-0.3,-2.2,43.9,39.3,42.7,42.3,96.5,58.6,797.2,0,0,0,0,0,0,0
日本甜菜製糖,2108,2024-11-20 00:00:00+00:00,2434.0,2726.0,2905.0,-60.2,1.1,0,1.6,-1.8,45.8,41.5,46.6,37.8,48.5,54.4,2286.1,0,0,0,0,0,1,0
ＤＭ三井製糖ホールディングス,2109,2024-11-20 00:00:00+00:00,3205.0,3380.0,3495.0,-14.3,0.4,0,-0.1,-1.7,47.1,40.0,46.1,45.3,88.2,57.3,3146.8,0,0,0,0,0,0,0
ウェルネオシュガー,2117,2024-11-20 00:00:00+00:00,2228.0,2287.0,2426.0,9.4,0.2,0,0.1,-1.5,53.4,39.9,56.2,55.7,225.4,50.9,2162.2,0,0,0,0,0,0,0
ＬＩＦＵＬＬ,2120,2024-11-20 00:00:00+00:00,166.0,168.0,312.0,3.4,0.5,0,6.1,-4.4,63.9,33.8,70.3,62.2,167.8,52.6,130.5,0,0,0,0,0,0,0
ＭＩＸＩ,2121,2024-11-20 00:00:00+00:00,2725.0,2826.0,3080.0,-22.0,-0.4,0,0.4,-2.5,46.4,37.6,46.8,42.8,69.3,62.2,2642.9,0,0,0,0,0,0,0
ジェイエイシーリクルートメント,2124,2024-11-20 00:00:00+00:00,700.0,778.0,800.0,-6.8,-0.3,0,-2.0,-3.5,43.0,38.5,37.1,42.9,78.4,56.2,697.2,0,0,0,0,0,0,0
日本Ｍ＆Ａセンターホールディングス,2127,2024-11-20 00:00:00+00:00,645.0,704.0,1128.0,5.8,0.0,0,-0.8,-5.6,49.1,32.6,50.6,52.4,77.5,52.3,563.1,0,0,0,0,0,0,0
メンバーズ,2130,2024-11-20 00:00:00+00:00,1138.0,1150.0,1802.0,40.0,3.8,0,5.5,-5.6,71.1,34.0,76.6,69.8,229.5,48.4,803.7,0,0,0,0,0,0,0
ＵＴグループ,2146,2024-11-20 00:00:00+00:00,1990.0,2721.0,3695.0,-88.1,-17.6,0,-10.3,-5.6,28.7,37.7,21.6,33.6,53.7,56.5,1917.3,0,1,1,0,0,1,0
アイティメディア,2148,2024-11-20 00:00:00+00:00,1539.0,1660.0,2024.0,-21.9,-0.5,0,-0.2,-4.3,41.8,37.0,42.0,39.4,36.0,53.9,1510.2,0,0,0,0,0,1,0
ケアネット,2150,2024-11-20 00:00:00+00:00,657.0,682.0,1139.0,3.5,-0.3,0,0.9,-5.8,53.9,37.3,53.2,51.8,98.7,53.0,621.4,0,0,0,0,0,0,0
Ｅ・Ｊホールディングス,2153,2024-11-20 00:00:00+00:00,1729.0,1804.0,1923.0,-10.7,0.9,0,1.6,-2.3,51.6,42.8,57.6,45.1,70.6,55.1,1663.9,0,0,0,0,0,0,0
オープンアップグループ,2154,2024-11-20 00:00:00+00:00,1771.0,2063.0,2393.0,-33.3,-4.1,0,-3.9,-3.9,36.1,40.1,27.1,36.5,70.0,60.6,1768.2,0,0,1,0,0,0,0
コシダカホールディングス,2157,2024-11-20 00:00:00+00:00,1175.0,1239.0,1413.0,32.8,-2.6,0,-0.4,-4.4,61.0,39.8,57.0,62.3,150.9,60.4,1167.6,0,0,0,0,0,0,0
アルトナー,2163,2024-11-20 00:00:00+00:00,1877.0,1884.0,2593.0,10.0,3.6,0,2.4,-2.7,59.1,41.6,69.5,59.5,111.4,54.6,1659.2,0,0,0,0,0,0,0
パソナグループ,2168,2024-11-20 00:00:00+00:00,1950.0,2150.0,2929.0,-45.2,0.2,0,0.1,-4.1,40.8,36.1,40.4,35.1,57.1,52.6,1897.3,0,0,0,0,0,0,0
リンクアンドモチベーション,2170,2024-11-20 00:00:00+00:00,552.0,651.0,683.0,-10.7,0.4,0,-0.4,-5.5,46.7,32.1,44.6,42.3,58.1,46.9,530.4,0,0,0,0,0,0,0
エス・エム・エス,2175,2024-11-20 00:00:00+00:00,1589.0,2267.0,3249.0,-127.9,-1.0,0,-2.1,-4.7,33.7,36.0,30.1,29.3,40.4,56.6,1364.8,0,0,0,0,0,1,0
パーソルホールディングス,2181,2024-11-20 00:00:00+00:00,232.5,270.2,287.0,-5.3,-0.5,0,-2.9,-3.8,36.1,40.3,27.5,34.5,38.8,58.3,229.0,0,0,1,0,0,1,0
アイ・ケイ・ケイホールディングス,2198,2024-11-20 00:00:00+00:00,723.0,801.0,834.0,-11.4,-0.0,0,-1.0,-2.3,36.9,38.6,30.6,34.0,57.3,50.9,707.8,0,0,1,0,0,0,0
森永製菓,2201,2024-11-20 00:00:00+00:00,2685.5,2916.5,2959.5,-41.7,-2.4,0,0.6,-2.2,44.9,39.6,43.8,37.2,92.4,54.7,2558.3,0,0,0,0,0,0,0
江崎グリコ,2206,2024-11-20 00:00:00+00:00,4298.0,4565.0,4728.0,-35.8,-2.6,0,1.4,-2.0,49.5,38.7,50.0,41.5,75.5,56.5,4104.0,0,0,0,0,0,0,0
名糖産業,2207,2024-11-20 00:00:00+00:00,1916.0,1925.0,2080.0,8.3,2.1,0,1.4,-1.5,58.2,42.4,65.2,57.9,244.6,51.4,1778.7,0,0,0,0,0,0,0
井村屋グループ,2209,2024-11-20 00:00:00+00:00,2415.0,2552.0,2613.0,-13.0,0.6,0,0.4,-1.7,47.4,41.1,49.1,43.9,54.6,56.0,2380.4,0,0,0,0,0,1,0
不二家,2211,2024-11-20 00:00:00+00:00,2649.0,2723.0,2800.0,-9.6,0.8,0,0.0,-1.4,48.8,41.6,48.2,47.1,105.8,60.9,2594.6,0,0,0,0,0,0,0
山崎製パン,2212,2024-11-20 00:00:00+00:00,2886.0,3112.0,4076.0,24.2,-0.2,0,0.2,-2.8,51.5,38.7,53.5,52.7,109.0,65.6,2560.3,0,0,0,0,0,0,0
モロゾフ,2217,2024-11-20 00:00:00+00:00,4470.0,4675.0,5010.0,0.6,-4.6,0,-1.2,-1.7,44.1,42.0,34.5,45.1,109.7,55.7,4469.2,0,0,0,0,0,0,0
亀田製菓,2220,2024-11-20 00:00:00+00:00,4140.0,4450.0,4730.0,-38.7,-2.6,0,-1.0,-1.8,40.9,39.2,36.9,40.0,55.9,53.2,4078.8,0,0,0,0,0,0,0
寿スピリッツ,2222,2024-11-20 00:00:00+00:00,1952.5,2204.0,2468.0,58.7,-5.9,0,-4.0,-4.6,51.2,37.7,44.2,60.7,165.9,53.6,1889.0,0,0,0,0,0,0,0
カルビー,2229,2024-11-20 00:00:00+00:00,3042.0,3443.0,3637.0,-58.1,-5.4,0,-2.2,-2.5,38.0,37.8,31.0,36.4,62.0,53.4,2964.9,0,0,0,0,0,0,0
森永乳業,2264,2024-11-20 00:00:00+00:00,2932.0,3597.0,3624.0,-108.1,-9.5,0,-3.3,-2.5,29.1,38.1,19.8,27.7,45.7,56.5,2744.8,0,1,1,0,0,1,0
六甲バター,2266,2024-11-20 00:00:00+00:00,1402.0,1611.0,1619.0,-23.0,0.1,0,-0.3,-2.4,43.5,38.7,40.8,39.3,63.3,51.5,1375.3,0,0,0,0,0,0,0
ヤクルト本社,2267,2024-11-20 00:00:00+00:00,3003.0,3441.0,4736.0,-52.2,-7.5,0,-0.7,-2.6,42.2,36.8,37.3,37.7,51.8,52.4,2829.3,0,0,0,0,0,1,0
明治ホールディングス,2269,2024-11-20 00:00:00+00:00,3301.0,3645.0,3811.0,-56.6,-3.5,0,-1.0,-1.8,34.4,39.2,29.2,29.3,51.2,62.3,3223.0,0,0,1,0,0,1,0
雪印メグミルク,2270,2024-11-20 00:00:00+00:00,2721.0,2779.0,2862.0,-19.7,5.4,0,4.0,-2.3,57.2,39.6,62.4,46.1,108.7,55.9,2453.1,0,0,0,0,0,0,0
プリマハム,2281,2024-11-20 00:00:00+00:00,2187.0,2394.0,2560.0,-26.3,0.4,0,-0.5,-2.3,40.4,37.2,37.5,37.7,35.2,46.3,2176.1,0,0,0,0,0,1,0
日本ハム,2282,2024-11-20 00:00:00+00:00,4946.0,5320.0,5565.0,-85.9,3.4,0,-0.0,-2.1,44.1,39.3,43.5,41.3,111.1,55.6,4647.0,0,0,0,0,0,0,0
丸大食品,2288,2024-11-20 00:00:00+00:00,1755.0,1773.0,1908.0,-5.9,3.1,0,2.1,-1.8,55.8,36.9,62.2,51.7,87.8,54.2,1597.1,0,0,0,0,0,0,0
Ｓ　Ｆｏｏｄｓ,2292,2024-11-20 00:00:00+00:00,2641.0,2833.0,3560.0,-15.6,-3.5,0,-1.2,-2.5,41.4,39.1,34.9,40.8,45.7,51.0,2610.8,0,0,0,0,0,1,0
柿安本店,2294,2024-11-20 00:00:00+00:00,2746.0,2754.0,3220.0,22.6,2.0,0,1.1,-1.8,60.8,37.9,68.0,62.9,180.6,51.8,2549.6,0,0,0,0,0,0,0
伊藤ハム米久ホールディングス,2296,2024-11-20 00:00:00+00:00,3770.0,3940.0,4445.0,-17.0,0.2,0,-0.2,-1.6,44.5,41.4,44.3,44.4,40.2,65.0,3729.3,0,0,0,0,0,1,0
学情,2301,2024-11-20 00:00:00+00:00,1715.0,1817.0,2081.0,-10.2,0.6,0,1.0,-3.9,49.8,37.9,51.3,47.9,99.8,46.0,1622.5,0,0,0,0,0,0,0
スタジオアリス,2305,2024-11-20 00:00:00+00:00,2080.0,2081.0,2244.0,3.3,1.5,0,1.2,-2.0,59.0,41.1,68.9,57.4,97.5,56.0,1997.0,0,0,0,0,0,0,0
クロスキャット,2307,2024-11-20 00:00:00+00:00,1098.0,1232.0,2322.0,-12.3,0.7,0,0.3,-4.2,46.1,40.3,47.8,44.8,134.4,56.0,1033.2,0,0,0,0,0,0,0
システナ,2317,2024-11-20 00:00:00+00:00,348.0,381.0,400.0,-4.7,0.1,0,-0.1,-3.8,45.2,35.9,42.6,40.7,92.5,46.9,339.2,0,0,0,0,0,0,0
ＮＪＳ,2325,2024-11-20 00:00:00+00:00,3580.0,4090.0,4435.0,-6.9,-13.4,0,-2.4,-2.0,44.5,41.6,39.0,45.0,97.6,54.9,3457.9,0,1,0,0,0,0,0
デジタルアーツ,2326,2024-11-20 00:00:00+00:00,5900.0,6100.0,6480.0,240.7,-0.3,0,2.1,-4.4,66.9,36.5,68.0,69.2,184.4,53.6,4745.7,0,0,0,0,0,0,0
日鉄ソリューションズ,2327,2024-11-20 00:00:00+00:00,4173.0,4373.0,4373.0,145.6,6.4,0,1.0,-2.4,67.1,41.4,69.6,70.4,212.8,62.0,3232.8,0,0,0,0,0,0,0
綜合警備保障,2331,2024-11-20 00:00:00+00:00,1080.0,1124.5,1124.5,13.1,-0.3,0,0.5,-2.2,56.9,39.6,56.0,58.2,81.9,58.0,1023.0,0,0,0,0,0,0,0
キューブシステム,2335,2024-11-20 00:00:00+00:00,1061.0,1063.0,1280.0,3.0,1.9,0,3.5,-2.7,60.5,40.0,71.4,57.3,149.5,57.0,948.0,0,0,0,0,0,0,0
いちご,2337,2024-11-20 00:00:00+00:00,384.0,410.0,464.0,3.4,-0.8,0,-1.2,-3.4,49.0,38.9,45.1,50.6,93.3,52.3,379.7,0,0,0,0,0,0,0
日本駐車場開発,2353,2024-11-20 00:00:00+00:00,221.0,241.0,257.0,-0.6,-0.1,0,0.1,-2.5,50.3,39.7,47.3,46.4,85.0,56.2,216.0,0,0,0,0,0,0,0
